epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1878.18,1.46775,2.26277,1.36246,0.46711,0.30587,0.25578,0.14314,1.35757,13.6458,1.24729,0.000208258,0.000208258,0.000208258
2,3246.45,1.43707,1.77106,1.33864,0.4215,0.33507,0.31296,0.17711,1.34822,7.9461,1.22349,0.00039597,0.00039597,0.00039597
3,4384.61,1.43115,1.66393,1.3388,0.42746,0.32126,0.28835,0.16929,1.30341,9.4758,1.20255,0.000563057,0.000563057,0.000563057
4,5546.01,1.41291,1.56629,1.31927,0.44297,0.35079,0.33083,0.19191,1.31049,8.2988,1.20431,0.000532187,0.000532187,0.000532187
5,6763.26,1.37787,1.49473,1.29839,0.43777,0.40986,0.36067,0.21328,1.26049,9.64175,1.16964,0.00050125,0.00050125,0.00050125
6,7966.36,1.34889,1.42754,1.28401,0.45551,0.41178,0.38139,0.228,1.24556,10.1905,1.1649,0.000470312,0.000470312,0.000470312
7,9151.52,1.32514,1.37754,1.27202,0.50437,0.38714,0.38487,0.23117,1.2325,9.94835,1.14703,0.000439375,0.000439375,0.000439375
8,10384.1,1.30566,1.33236,1.25803,0.46495,0.41521,0.39305,0.24235,1.20638,8.2207,1.13494,0.000408438,0.000408438,0.000408438
9,11611,1.29491,1.307,1.25546,0.51738,0.41322,0.40793,0.24769,1.21122,10.6551,1.14051,0.0003775,0.0003775,0.0003775
10,12825,1.27528,1.26282,1.23875,0.48884,0.43058,0.4074,0.25187,1.18404,11.8248,1.12328,0.000346563,0.000346563,0.000346563
11,14023.1,1.22293,1.08088,1.20676,0.52465,0.42217,0.41601,0.25886,1.1863,9.29528,1.12481,0.000315625,0.000315625,0.000315625
12,15195.1,1.20299,1.02685,1.19219,0.52252,0.42698,0.42063,0.25861,1.16669,8.54644,1.11338,0.000284688,0.000284688,0.000284688
13,16433.5,1.17364,0.98009,1.17188,0.5545,0.42799,0.44194,0.2756,1.15356,10.1712,1.09779,0.00025375,0.00025375,0.00025375
14,17753.9,1.16355,0.95651,1.16755,0.58066,0.44547,0.45879,0.28826,1.14388,9.89077,1.08869,0.000222813,0.000222813,0.000222813
15,19094.9,1.14517,0.92132,1.15531,0.56961,0.45596,0.46167,0.29171,1.13626,10.1429,1.08388,0.000191875,0.000191875,0.000191875
16,20455.7,1.12145,0.89053,1.14533,0.58046,0.45091,0.46074,0.29354,1.12651,10.7697,1.07992,0.000160938,0.000160938,0.000160938
17,23975.9,1.10453,0.86159,1.13608,0.60904,0.45356,0.47229,0.30363,1.1206,11.4216,1.07773,0.00013,0.00013,0.00013
18,25343.5,1.09384,0.84307,1.12945,0.62291,0.44987,0.47684,0.30432,1.11818,10.4874,1.07176,9.90625e-05,9.90625e-05,9.90625e-05
19,26526.4,1.07734,0.81739,1.1168,0.621,0.45043,0.48183,0.3096,1.10948,10.6695,1.06459,6.8125e-05,6.8125e-05,6.8125e-05
20,27705.2,1.06519,0.80139,1.11103,0.63181,0.46026,0.49033,0.31476,1.1094,11.3592,1.06518,3.71875e-05,3.71875e-05,3.71875e-05
